№корня;Корень;Категория;Подкатегория;наименование
6;Зоотовары;Товары для кошек;Средства и предметы  по уходу за кожей, шерстью и когтями кошек;Щетки, расчески, пуходерки, рукавицы
6;Зоотовары;Товары для кошек;Средства и предметы  по уходу за кожей, шерстью и когтями кошек;Колтунорезки, тримминги, фурменаторы
6;Зоотовары;Товары для кошек;Средства и предметы  по уходу за кожей, шерстью и когтями кошек;Шампуни, кондиционеры для кошек
6;Зоотовары;Товары для кошек;Средства и предметы  по уходу за кожей, шерстью и когтями кошек;Маски, масла для ухода за шерстью
6;Зоотовары;Товары для кошек;Средства и предметы  по уходу за кожей, шерстью и когтями кошек;Бантикти, заколки для кошек
6;Зоотовары;Товары для кошек;Средства и предметы  по уходу за кожей, шерстью и когтями кошек;Духи для кошек
6;Зоотовары;Товары для кошек;Транспортные сумки и одежда для кошек;Переноски для кошек
6;Зоотовары;Товары для кошек;Транспортные сумки и одежда для кошек;Сумки для кошек
6;Зоотовары;Товары для кошек;Транспортные сумки и одежда для кошек;Аксессуары для транспортировки кошек
6;Зоотовары;Товары для кошек;Транспортные сумки и одежда для кошек;Одежда для кошек
6;Зоотовары;Товары для кошек;Кошачьи туалеты и средства поддержания чистоты в доме ;Открытые кошачьи туалеты
6;Зоотовары;Товары для кошек;Кошачьи туалеты и средства поддержания чистоты в доме ;Закрытые кошачьи туалеты
6;Зоотовары;Товары для кошек;Кошачьи туалеты и средства поддержания чистоты в доме ;Дверцы
6;Зоотовары;Товары для кошек;Кошачьи туалеты и средства поддержания чистоты в доме ;Аксессуары для кошачьих туалетов
6;Зоотовары;Товары для кошек;Кошачьи туалеты и средства поддержания чистоты в доме ;Средства от пятен и запахов
6;Зоотовары;Товары для кошек;Наполнители для кошачих туалетов;Впитывающий
6;Зоотовары;Товары для кошек;Наполнители для кошачих туалетов;Древесный
6;Зоотовары;Товары для кошек;Наполнители для кошачих туалетов;Комкующийся
6;Зоотовары;Товары для кошек;Наполнители для кошачих туалетов;Селикагелевый
6;Зоотовары;Товары для кошек;Предметы для кормления кошек;Миски для кошек
6;Зоотовары;Товары для кошек;Предметы для кормления кошек;Автокормушки, автопоилки
6;Зоотовары;Товары для кошек;Предметы для кормления кошек;Сумки для лакомств
6;Зоотовары;Товары для кошек;Предметы для кормления кошек;Контейнеры для хранения корма
6;Зоотовары;Товары для кошек;Предметы для кормления кошек;Аксессуары для кормления
6;Зоотовары;Товары для кошек;Игрушки для кошек;Дразнилки
6;Зоотовары;Товары для кошек;Игрушки для кошек;Мячики, шарики
6;Зоотовары;Товары для кошек;Игрушки для кошек;Мыши, рыбки, звери, птицы
6;Зоотовары;Товары для кошек;Игрушки для кошек;Тоннели
6;Зоотовары;Товары для кошек;Поводки, ошейники для кошек;Поводки
6;Зоотовары;Товары для кошек;Поводки, ошейники для кошек;Ошейники
6;Зоотовары;Товары для кошек;Поводки, ошейники для кошек;Шлейки
6;Зоотовары;Товары для кошек;Поводки, ошейники для кошек;Медальоны, адресники для кошек
6;Зоотовары;Товары для кошек;Средства для корректировки поведения кошек;Средства для приучения к туалеты
6;Зоотовары;Товары для кошек;Средства для корректировки поведения кошек;Средства для защиты от повреждения когтями и зубами
6;Зоотовары;Товары для кошек;Средства для корректировки поведения кошек;Средства для приучения кошек к месту
6;Зоотовары;Товары для кошек;Средства для корректировки поведения кошек;Средства для привлечения кошек к предмету
6;Зоотовары;Корм и витамины для собак;Корм для собак сухой;Корм сухой для щенков
6;Зоотовары;Корм и витамины для собак;Корм для собак сухой;Корм сухой для взрослых собак
6;Зоотовары;Корм и витамины для собак;Корм для собак сухой;Корм сухой для стареющих собак
6;Зоотовары;Корм и витамины для собак;Корм для собак сухой;Весовой корм сухой для щенков
6;Зоотовары;Корм и витамины для собак;Корм для собак сухой;Весовой корм сухой для собак
6;Зоотовары;Корм и витамины для собак;Корм для собак сухой;Весовой корм сухой для стареющих собак
6;Зоотовары;Корм и витамины для собак;Корм для собак консервиров;Корм консерв для щенков
6;Зоотовары;Корм и витамины для собак;Корм для собак консервиров;Корм консерв д/взрослых собак
6;Зоотовары;Корм и витамины для собак;Корм для собак консервиров;Корм консерв д/стареющих собак
6;Зоотовары;Корм и витамины для собак;Порционные корма д/собак (пауч);Порц консерв корм для щенков
6;Зоотовары;Корм и витамины для собак;Порционные корма д/собак (пауч);Порц консерв корм д/взр собак
6;Зоотовары;Корм и витамины для собак;Порционные корма д/собак (пауч);Порц консерв корм д/стареющих собак
6;Зоотовары;Корм и витамины для собак;Витамины, лакомства для собак;Витамины для щенков
6;Зоотовары;Корм и витамины для собак;Витамины, лакомства для собак;Лакомства для щенков
6;Зоотовары;Корм и витамины для собак;Витамины, лакомства для собак;Витамины для собак
6;Зоотовары;Корм и витамины для собак;Витамины, лакомства для собак;Лакомства для собак
6;Зоотовары;Товары для собак;Места, лежаки для собак;Мягкие домики для собак
6;Зоотовары;Товары для собак;Места, лежаки для собак;Лежаки для собак
6;Зоотовары;Товары для собак;Места, лежаки для собак;Коврики для собак
6;Зоотовары;Товары для собак;Места, лежаки для собак;Будки для собак
6;Зоотовары;Товары для собак;Средства по уходу за зубами, ушами, глазами собак;Средства по уходу за зубами
6;Зоотовары;Товары для собак;Средства по уходу за зубами, ушами, глазами собак;Средства по уходу  за глазами, ушами
6;Зоотовары;Товары для собак;Средства и предметы  по уходу за кожей, шерстью и когтями собак;Когтерезки
6;Зоотовары;Товары для собак;Средства и предметы  по уходу за кожей, шерстью и когтями собак;Средства для защиты и ухода за лапами
6;Зоотовары;Товары для собак;Средства и предметы  по уходу за кожей, шерстью и когтями собак;Средства для ухода за шерстью и кожей
6;Зоотовары;Товары для собак;Средства и предметы  по уходу за кожей, шерстью и когтями собак;Машинки для стрижки
6;Зоотовары;Товары для собак;Средства и предметы  по уходу за кожей, шерстью и когтями собак;Щетки, расчески, пуходерки, рукавицы
6;Зоотовары;Товары для собак;Средства и предметы  по уходу за кожей, шерстью и когтями собак;Колтунорезки, тримминги, фурменаторы
6;Зоотовары;Товары для собак;Средства и предметы  по уходу за кожей, шерстью и когтями собак;Шампуни, кондиционеры для собак
6;Зоотовары;Товары для собак;Средства и предметы  по уходу за кожей, шерстью и когтями собак;Маски, масла для ухода за шерстью
6;Зоотовары;Товары для собак;Средства и предметы  по уходу за кожей, шерстью и когтями собак;Бантикти, заколки для собак
6;Зоотовары;Товары для собак;Средства и предметы  по уходу за кожей, шерстью и когтями собак;Духи для собак
6;Зоотовары;Товары для собак;Тренировка собак, поводки, ошейники, намордники;Намордники
6;Зоотовары;Товары для собак;Тренировка собак, поводки, ошейники, намордники;Поводки
6;Зоотовары;Товары для собак;Тренировка собак, поводки, ошейники, намордники;Ошейники
6;Зоотовары;Товары для собак;Тренировка собак, поводки, ошейники, намордники;Цепи
6;Зоотовары;Товары для собак;Тренировка собак, поводки, ошейники, намордники;Шлейки
6;Зоотовары;Товары для собак;Тренировка собак, поводки, ошейники, намордники;Медальоны, адресники для собак
6;Зоотовары;Товары для собак;Тренировка собак, поводки, ошейники, намордники;Средства для приучения к туалеты
6;Зоотовары;Товары для собак;Тренировка собак, поводки, ошейники, намордники;Средства для защиты от повреждения когтями и зубами
6;Зоотовары;Товары для собак;Тренировка собак, поводки, ошейники, намордники;Средства для приучения собак к месту
6;Зоотовары;Товары для собак;Тренировка собак, поводки, ошейники, намордники;Средства для привлечения собак к предмету
6;Зоотовары;Товары для собак;Одежда для собак;Комбинезоны, костюмы для собак
6;Зоотовары;Товары для собак;Одежда для собак;Куртки, штаны, свитера для собак
6;Зоотовары;Товары для собак;Одежда для собак;Обувь, носки для собак
6;Зоотовары;Товары для собак;Одежда для собак;Шапки, шарфы для собак
6;Зоотовары;Товары для собак;Поддержание чистоты в доме (собаки);Пеленки, подгузники
6;Зоотовары;Товары для собак;Поддержание чистоты в доме (собаки);Туалеты для собак
6;Зоотовары;Товары для собак;Поддержание чистоты в доме (собаки);Средства от пятен и запахов
6;Зоотовары;Товары для собак;Предметы для кормления кошек;Автокормушки, автопоилки
6;Зоотовары;Товары для собак;Предметы для кормления кошек;Сумки для лакомств
6;Зоотовары;Товары для собак;Предметы для кормления кошек;Контейнеры для хранения корма
6;Зоотовары;Товары для собак;Предметы для кормления кошек;Аксессуары для кормления
6;Зоотовары;Товары для собак;Игрушки для собак;Мячи, тарелки, кольца
6;Зоотовары;Товары для собак;Игрушки для собак;Веревки, канаты
6;Зоотовары;Товары для собак;Игрушки для собак;Косточки, гантели, палки
6;Зоотовары;Товары для собак;Игрушки для собак;Игрушки в виде еды
6;Зоотовары;Товары для собак;Игрушки для собак;Игрушки в виде птиц, зверей, обуви
6;Зоотовары;Товары для грызунов;Клетки, домики для грызунов;Клетки для грызунов
6;Зоотовары;Товары для грызунов;Клетки, домики для грызунов;Вольеры для грызунов
6;Зоотовары;Товары для грызунов;Клетки, домики для грызунов;Домики для грызунов
6;Зоотовары;Товары для грызунов;Клетки, домики для грызунов;Будки для грызунов
6;Зоотовары;Товары для грызунов;Клетки, домики для грызунов;Лежанки, гамаки
6;Зоотовары;Товары для грызунов;Клетки, домики для грызунов;Переноски для грызунов
6;Зоотовары;Товары для грызунов;Игрушки для грызунов;Колеса, шары для грызунов
6;Зоотовары;Товары для грызунов;Игрушки для грызунов;Мебель для клеток грызунов
6;Зоотовары;Товары для грызунов;Игрушки для грызунов;Тоннели для грызунов
6;Зоотовары;Товары для грызунов;Игрушки для грызунов;Игрушки для грызунов
6;Зоотовары;Товары для грызунов;Поилки, кормушки для грызунов;Кормушки для грызунов
6;Зоотовары;Товары для грызунов;Поилки, кормушки для грызунов;Поилки для грызунов
6;Зоотовары;Товары для грызунов;Поилки, кормушки для грызунов;Купалки для грызунов
6;Зоотовары;Товары для грызунов;Поддержание чистоты в клетке  грызунов;Туалеты для грызунов
6;Зоотовары;Товары для грызунов;Поддержание чистоты в клетке  грызунов;Деревянный наполнитель
6;Зоотовары;Товары для грызунов;Поддержание чистоты в клетке  грызунов;Кукурузный наполнитель
6;Зоотовары;Товары для грызунов;Поддержание чистоты в клетке  грызунов;Целлюлозный наполнитель
6;Зоотовары;Товары для грызунов;Поддержание чистоты в клетке  грызунов;Песочный наполнитель
6;Зоотовары;Товары для грызунов;Средства и предметы  по уходу за грызунами;Когтерезки
6;Зоотовары;Товары для грызунов;Средства и предметы  по уходу за грызунами;Щетки, расчески, пуходерки
6;Зоотовары;Товары для грызунов;Средства и предметы  по уходу за грызунами;Шлейки для грызунов
6;Зоотовары;Товары для грызунов;Корм, лакомство для грызунов;Корм для грызунов
6;Зоотовары;Товары для грызунов;Корм, лакомство для грызунов;Лакомство, витамины для грызунов
6;Зоотовары;Товары для птиц;Клетки, гнезда для птиц;Клетки, домики для птиц
6;Зоотовары;Товары для птиц;Клетки, гнезда для птиц;Гнезда и скворечники для птиц
6;Зоотовары;Товары для птиц;Клетки, гнезда для птиц;Переноски для птиц
6;Зоотовары;Товары для птиц;Кормушки, купалки для птиц;Кормушки для птиц
6;Зоотовары;Товары для птиц;Кормушки, купалки для птиц;Поилки для птиц
6;Зоотовары;Товары для птиц;Кормушки, купалки для птиц;Ванночки, купалки для птиц
6;Зоотовары;Товары для птиц;Средства для поддержания чистоты в клетке;Наполнители для клеток
6;Зоотовары;Товары для птиц;Средства для поддержания чистоты в клетке;Средства от паразитов
6;Зоотовары;Товары для птиц;Средства для поддержания чистоты в клетке;Ликвидаторы запахов
6;Зоотовары;Товары для птиц;Средства для поддержания чистоты в клетке;Аксессуары для чистки клетки
6;Зоотовары;Товары для птиц;Игрушки для птиц;Кольца, лесенки, жердочки, качели для птиц
6;Зоотовары;Товары для птиц;Игрушки для птиц;Зеркала, дразнилки
6;Зоотовары;Товары для птиц;Корм, витамины, лакомство для птиц;Сухой корм для птиц
6;Зоотовары;Товары для птиц;Корм, витамины, лакомство для птиц;Минеральные камни, витамины для птиц
6;Зоотовары;Товары для птиц;Корм, витамины, лакомство для птиц;Лакомства для птиц
6;Зоотовары;Товары для рыб и рептилий;Аквариумы, террариумы, тумбы;Аквариумы
6;Зоотовары;Товары для рыб и рептилий;Аквариумы, террариумы, тумбы;Террариумы
6;Зоотовары;Товары для рыб и рептилий;Аквариумы, террариумы, тумбы;Тумбы
6;Зоотовары;Товары для рыб и рептилий;Аквариумы, террариумы, тумбы;Комплектующие к аквариумам и террариумам
6;Зоотовары;Товары для рыб и рептилий;Аэрация, озонирование и со2;Компрессоры
6;Зоотовары;Товары для рыб и рептилий;Аэрация, озонирование и со2;Озонаторы
6;Зоотовары;Товары для рыб и рептилий;Аэрация, озонирование и со2;Системы со2
6;Зоотовары;Товары для рыб и рептилий;Аэрация, озонирование и со2;Оксидаторы
6;Зоотовары;Товары для рыб и рептилий;Аэрация, озонирование и со2;Принадлежности и аксессуары для аэрации
6;Зоотовары;Товары для рыб и рептилий;Фильтрация и стерилизация;Внешние фильтры
6;Зоотовары;Товары для рыб и рептилий;Фильтрация и стерилизация;Внутренние фильтры
6;Зоотовары;Товары для рыб и рептилий;Фильтрация и стерилизация;Каскадные фильтры
6;Зоотовары;Товары для рыб и рептилий;Фильтрация и стерилизация;Проточные фильтры
6;Зоотовары;Товары для рыб и рептилий;Фильтрация и стерилизация;Помпы
6;Зоотовары;Товары для рыб и рептилий;Фильтрация и стерилизация;Аквариумные уф стерилизаторы
6;Зоотовары;Товары для рыб и рептилий;Фильтрация и стерилизация;Наполнители и аксессуары для фильтров
6;Зоотовары;Товары для рыб и рептилий;Терморегуляция и освещение;Нагреватели для аквариумов
6;Зоотовары;Товары для рыб и рептилий;Терморегуляция и освещение;Нагреватели для террариумов
6;Зоотовары;Товары для рыб и рептилий;Терморегуляция и освещение;Охлаждающие устройства
6;Зоотовары;Товары для рыб и рептилий;Терморегуляция и освещение;Приборы измеряющие температуру
6;Зоотовары;Товары для рыб и рептилий;Терморегуляция и освещение;Запчасти и аксессуары для терморегуляции
6;Зоотовары;Товары для рыб и рептилий;Терморегуляция и освещение;Лампы, светильники, подводная подстветка
6;Зоотовары;Товары для рыб и рептилий;Терморегуляция и освещение;Лампы, светильники для террариумов
6;Зоотовары;Товары для рыб и рептилий;Терморегуляция и освещение;Принадлежности и аксессуары для освещения
6;Зоотовары;Товары для рыб и рептилий;Декорация аквариумов и террариумов;Грунты
6;Зоотовары;Товары для рыб и рептилий;Декорация аквариумов и террариумов;Искуственные растения
6;Зоотовары;Товары для рыб и рептилий;Декорация аквариумов и террариумов;Гроты
6;Зоотовары;Товары для рыб и рептилий;Декорация аквариумов и террариумов;Коряги и камни
6;Зоотовары;Товары для рыб и рептилий;Декорация аквариумов и террариумов;Фоны
6;Зоотовары;Товары для рыб и рептилий;Инвентарь для обслуживания аквариумов и террариумов;Отсадники
6;Зоотовары;Товары для рыб и рептилий;Инвентарь для обслуживания аквариумов и террариумов;Сачки
6;Зоотовары;Товары для рыб и рептилий;Инвентарь для обслуживания аквариумов и террариумов;Сифоны
6;Зоотовары;Товары для рыб и рептилий;Инвентарь для обслуживания аквариумов и террариумов;Шланги и трубки
6;Зоотовары;Товары для рыб и рептилий;Инвентарь для обслуживания аквариумов и террариумов;Прочие инструменты
6;Зоотовары;Товары для рыб и рептилий;Средства и предметы для чистоты в аквариуме;Тесты и реагенты
6;Зоотовары;Товары для рыб и рептилий;Средства и предметы для чистоты в аквариуме;Удобрения для растений
6;Зоотовары;Товары для рыб и рептилий;Средства и предметы для чистоты в аквариуме;Дезинфицирующие, подготовительные и лечебные препараты для воды
6;Зоотовары;Товары для рыб и рептилий;Средства и предметы для чистоты в аквариуме;Аксессуары для очистки и содержания аквариумов и террариумов
6;Зоотовары;Товары для рыб и рептилий;Корм для рыб и рептилий;Корм для рыб
6;Зоотовары;Товары для рыб и рептилий;Корм для рыб и рептилий;Корм для рептилий
6;Зоотовары;Ветеринарные товары и аксессуары;Лекарственные препараты;Антибиотики
6;Зоотовары;Ветеринарные товары и аксессуары;Лекарственные препараты;Препараты для глаз
6;Зоотовары;Ветеринарные товары и аксессуары;Лекарственные препараты;Препараты для жкт
6;Зоотовары;Ветеринарные товары и аксессуары;Лекарственные препараты;Препараты для иммунной системы
6;Зоотовары;Ветеринарные товары и аксессуары;Лекарственные препараты;Препараты для кожи
6;Зоотовары;Ветеринарные товары и аксессуары;Лекарственные препараты;Препараты для печени
6;Зоотовары;Ветеринарные товары и аксессуары;Лекарственные препараты;Препараты для полости рта
6;Зоотовары;Ветеринарные товары и аксессуары;Лекарственные препараты;Препараты для почек и мочеполовой системы
6;Зоотовары;Ветеринарные товары и аксессуары;Лекарственные препараты;Препараты для суставов
6;Зоотовары;Ветеринарные товары и аксессуары;Лекарственные препараты;Препараты для ушей
6;Зоотовары;Ветеринарные товары и аксессуары;Лекарственные препараты;Контрацептивы
6;Зоотовары;Ветеринарные товары и аксессуары;Лекарственные препараты;Препараты от блох и клещей
6;Зоотовары;Ветеринарные товары и аксессуары;Лекарственные препараты;Препараты от глистов
6;Зоотовары;Ветеринарные товары и аксессуары;Лекарственные препараты;Препараты от стресса
6;Зоотовары;Ветеринарные товары и аксессуары;Лекарственные препараты;Препараты от укачивания
6;Зоотовары;Ветеринарные товары и аксессуары;Аксессуары;Документы, паспорт, справки
6;Зоотовары;Ветеринарные товары и аксессуары;Аксессуары;Воротники, мочесборники
6;Зоотовары;Ветеринарные товары и аксессуары;Аксессуары;Бандажи, попоны
6;Зоотовары;Ветеринарные товары и аксессуары;Лечебные корма;Лечебные корма для кошек
6;Зоотовары;Ветеринарные товары и аксессуары;Лечебные корма;Лечебные корма для собак
